"Year","rainfall"
"1850",852
"1851",1806
"1852",1356
"1853",1233
"1854",1590
"1855",1273
"1856",1770
"1857",1734
"1858",1457
"1859",1357
"1860",1716
"1861",1445
"1862",1468
"1863",1452
"1864",1098
"1865",1238
"1866",2478
"1867",832
"1868",1289
"1869",1470
"1870",1628
"1871",1459
"1872",2256
"1873",2058
"1874",1487
"1875",1581
"1876",1569
"1877",468
"1878",503
"1879",597
"1880",1539
"1881",1423
"1882",1246
"1883",1508
"1884",1047
"1885",1307
"1886",1399
"1887",1320
"1888",736
"1889",784
"1890",1534
"1891",1077
"1892",1211
"1893",1430
"1894",2505
"1895",2491
"1896",2144
"1897",1839
"1898",863
"1899",2414
"1900",940
"1901",1545
"1902",878
"1903",789
"1904",1136
"1905",1189
"1906",1430
"1907",697
"1908",834
"1909",1015
"1910",2051
"1911",1373
"1912",2446
"1913",1905
"1914",1512
"1915",530
"1916",1328
"1917",2077
"1918",1319
"1919",656
"1920",1847
"1921",2496
"1922",1595
"1923",1513
"1924",1847
"1925",1137
"1926",1571
"1927",1195
"1928",995
"1929",1230
"1930",1107
"1931",1133
"1932",879
"1933",937
"1934",1888
"1935",1661
"1936",820
"1937",1313
"1938",1586
"1939",1911
"1940",1447
"1941",916
"1942",780
"1943",1042
"1944",1090
"1945",1750
"1946",1724
"1947",1726
"1948",1384
"1949",1881
"1950",1114
"1951",747
"1952",1378
"1953",1068
"1954",1032
"1955",1152
"1956",806
"1957",1225
"1958",504
"1959",1493
"1960",1011
"1961",1737
"1962",1258
"1963",2102
"1964",2428
"1965",1630
"1966",1288
"1967",1839
"1968",1385
"1969",1805
"1970",1192
"1971",2093
"1972",1299
"1973",2331
"1974",2512
"1975",1778
"1976",1417
"1977",1941
"1978",1752
"1979",996