"Month","furnas"
"1931-01",1470
"1931-02",3080
"1931-03",2160
"1931-04",1580
"1931-05",1020
"1931-06",806
"1931-07",629
"1931-08",493
"1931-09",563
"1931-10",654
"1931-11",690
"1931-12",1140
"1932-01",1930
"1932-02",1920
"1932-03",1530
"1932-04",884
"1932-05",696
"1932-06",655
"1932-07",497
"1932-08",399
"1932-09",414
"1932-10",546
"1932-11",597
"1932-12",1490
"1933-01",1350
"1933-02",747
"1933-03",717
"1933-04",632
"1933-05",467
"1933-06",384
"1933-07",359
"1933-08",356
"1933-09",326
"1933-10",437
"1933-11",324
"1933-12",713
"1934-01",1220
"1934-02",720
"1934-03",773
"1934-04",505
"1934-05",363
"1934-06",310
"1934-07",275
"1934-08",242
"1934-09",277
"1934-10",305
"1934-11",331
"1934-12",1300
"1935-01",1850
"1935-02",2690
"1935-03",1570
"1935-04",1360
"1935-05",930
"1935-06",698
"1935-07",576
"1935-08",493
"1935-09",462
"1935-10",628
"1935-11",550
"1935-12",680
"1936-01",614
"1936-02",602
"1936-03",1850
"1936-04",959
"1936-05",648
"1936-06",461
"1936-07",392
"1936-08",380
"1936-09",469
"1936-10",376
"1936-11",625
"1936-12",1340
"1937-01",2630
"1937-02",1610
"1937-03",1130
"1937-04",851
"1937-05",853
"1937-06",645
"1937-07",480
"1937-08",392
"1937-09",339
"1937-10",842
"1937-11",1020
"1937-12",2370
"1938-01",1950
"1938-02",1650
"1938-03",1470
"1938-04",955
"1938-05",869
"1938-06",661
"1938-07",531
"1938-08",505
"1938-09",507
"1938-10",812
"1938-11",944
"1938-12",1690
"1939-01",2160
"1939-02",2040
"1939-03",1080
"1939-04",973
"1939-05",752
"1939-06",581
"1939-07",507
"1939-08",424
"1939-09",378
"1939-10",426
"1939-11",638
"1939-12",1400
"1940-01",2070
"1940-02",2550
"1940-03",2150
"1940-04",1160
"1940-05",843
"1940-06",661
"1940-07",536
"1940-08",434
"1940-09",409
"1940-10",488
"1940-11",1050
"1940-12",1610
"1941-01",1730
"1941-02",1000
"1941-03",972
"1941-04",794
"1941-05",514
"1941-06",465
"1941-07",464
"1941-08",342
"1941-09",610
"1941-10",669
"1941-11",704
"1941-12",1310
"1942-01",1310
"1942-02",1250
"1942-03",1900
"1942-04",1130
"1942-05",767
"1942-06",639
"1942-07",551
"1942-08",426
"1942-09",398
"1942-10",545
"1942-11",855
"1942-12",1230
"1943-01",2900
"1943-02",2260
"1943-03",2120
"1943-04",1130
"1943-05",798
"1943-06",683
"1943-07",560
"1943-08",502
"1943-09",449
"1943-10",651
"1943-11",659
"1943-12",1090
"1944-01",1000
"1944-02",1530
"1944-03",1650
"1944-04",912
"1944-05",622
"1944-06",502
"1944-07",430
"1944-08",354
"1944-09",300
"1944-10",328
"1944-11",513
"1944-12",671
"1945-01",864
"1945-02",2030
"1945-03",1200
"1945-04",991
"1945-05",635
"1945-06",558
"1945-07",505
"1945-08",357
"1945-09",321
"1945-10",356
"1945-11",724
"1945-12",1590
"1946-01",3160
"1946-02",1290
"1946-03",1470
"1946-04",1150
"1946-05",755
"1946-06",630
"1946-07",553
"1946-08",438
"1946-09",339
"1946-10",492
"1946-11",692
"1946-12",750
"1947-01",1760
"1947-02",1770
"1947-03",3650
"1947-04",1690
"1947-05",1030
"1947-06",803
"1947-07",700
"1947-08",553
"1947-09",765
"1947-10",630
"1947-11",708
"1947-12",1220
"1948-01",1520
"1948-02",1750
"1948-03",1840
"1948-04",1080
"1948-05",768
"1948-06",612
"1948-07",520
"1948-08",449
"1948-09",377
"1948-10",393
"1948-11",530
"1948-12",1050
"1949-01",1570
"1949-02",2260
"1949-03",1330
"1949-04",947
"1949-05",745
"1949-06",632
"1949-07",490
"1949-08",388
"1949-09",347
"1949-10",418
"1949-11",564
"1949-12",849
"1950-01",1590
"1950-02",2634
"1950-03",1590
"1950-04",1180
"1950-05",857
"1950-06",685
"1950-07",530
"1950-08",423
"1950-09",367
"1950-10",495
"1950-11",1020
"1950-12",1670
"1951-01",1590
"1951-02",2180
"1951-03",1840
"1951-04",1280
"1951-05",828
"1951-06",683
"1951-07",571
"1951-08",490
"1951-09",398
"1951-10",423
"1951-11",408
"1951-12",724
"1952-01",1180
"1952-02",1730
"1952-03",2340
"1952-04",1200
"1952-05",708
"1952-06",693
"1952-07",531
"1952-08",414
"1952-09",377
"1952-10",387
"1952-11",668
"1952-12",745
"1953-01",571
"1953-02",653
"1953-03",806
"1953-04",979
"1953-05",510
"1953-06",403
"1953-07",337
"1953-08",292
"1953-09",314
"1953-10",336
"1953-11",518
"1953-12",812
"1954-01",745
"1954-02",1260
"1954-03",668
"1954-04",643
"1954-05",634
"1954-06",458
"1954-07",335
"1954-08",279
"1954-09",225
"1954-10",306
"1954-11",426
"1954-12",596
"1955-01",1130
"1955-02",694
"1955-03",867
"1955-04",665
"1955-05",422
"1955-06",383
"1955-07",285
"1955-08",235
"1955-09",206
"1955-10",276
"1955-11",422
"1955-12",1160
"1956-01",1050
"1956-02",704
"1956-03",1170
"1956-04",599
"1956-05",566
"1956-06",534
"1956-07",405
"1956-08",437
"1956-09",357
"1956-10",315
"1956-11",423
"1956-12",1180
"1957-01",1620
"1957-02",1480
"1957-03",1670
"1957-04",1560
"1957-05",945
"1957-06",680
"1957-07",588
"1957-08",470
"1957-09",621
"1957-10",446
"1957-11",782
"1957-12",1190
"1958-01",960
"1958-02",1550
"1958-03",1240
"1958-04",891
"1958-05",889
"1958-06",754
"1958-07",639
"1958-08",483
"1958-09",589
"1958-10",660
"1958-11",711
"1958-12",848
"1959-01",1860
"1959-02",1410
"1959-03",1240
"1959-04",1090
"1959-05",692
"1959-06",584
"1959-07",504
"1959-08",471
"1959-09",408
"1959-10",432
"1959-11",668
"1959-12",778
"1960-01",1450
"1960-02",1512
"1960-03",1977
"1960-04",971
"1960-05",839
"1960-06",639
"1960-07",624
"1960-08",513
"1960-09",354
"1960-10",421
"1960-11",587
"1960-12",1447
"1961-01",2775
"1961-02",2882
"1961-03",2787
"1961-04",1466
"1961-05",1257
"1961-06",873
"1961-07",702
"1961-08",583
"1961-09",470
"1961-10",409
"1961-11",649
"1961-12",709
"1962-01",1363
"1962-02",2522
"1962-03",1645
"1962-04",986
"1962-05",793
"1962-06",667
"1962-07",522
"1962-08",465
"1962-09",491
"1962-10",777
"1962-11",1040
"1962-12",1810
"1963-01",1306
"1963-02",1409
"1963-03",881
"1963-04",455
"1963-05",460
"1963-06",351
"1963-07",365
"1963-08",291
"1963-09",196
"1963-10",314
"1963-11",434
"1963-12",236
"1964-01",1136
"1964-02",1987
"1964-03",985
"1964-04",556
"1964-05",562
"1964-06",390
"1964-07",375
"1964-08",249
"1964-09",214
"1964-10",504
"1964-11",608
"1964-12",1256
"1965-01",2449
"1965-02",3113
"1965-03",2388
"1965-04",1184
"1965-05",1224
"1965-06",921
"1965-07",808
"1965-08",667
"1965-09",566
"1965-10",883
"1965-11",1052
"1965-12",1685
"1966-01",3217
"1966-02",2086
"1966-03",2662
"1966-04",1384
"1966-05",999
"1966-06",697
"1966-07",556
"1966-08",499
"1966-09",458
"1966-10",741
"1966-11",1420
"1966-12",1774
"1967-01",2900
"1967-02",2586
"1967-03",1898
"1967-04",1139
"1967-05",848
"1967-06",708
"1967-07",572
"1967-08",508
"1967-09",460
"1967-10",511
"1967-11",1084
"1967-12",1290
"1968-01",1642
"1968-02",986
"1968-03",940
"1968-04",590
"1968-05",446
"1968-06",384
"1968-07",336
"1968-08",345
"1968-09",351
"1968-10",443
"1968-11",380
"1968-12",1339
"1969-01",1048
"1969-02",1100
"1969-03",955
"1969-04",602
"1969-05",405
"1969-06",410
"1969-07",316
"1969-08",297
"1969-09",196
"1969-10",461
"1969-11",1229
"1969-12",1134
"1970-01",1471
"1970-02",1270
"1970-03",1305
"1970-04",890
"1970-05",506
"1970-06",453
"1970-07",426
"1970-08",366
"1970-09",631
"1970-10",545
"1970-11",826
"1970-12",531
"1971-01",606
"1971-02",355
"1971-03",463
"1971-04",379
"1971-05",288
"1971-06",344
"1971-07",289
"1971-08",200
"1971-09",218
"1971-10",464
"1971-11",545
"1971-12",1529
"1972-01",1308
"1972-02",1776
"1972-03",1600
"1972-04",864
"1972-05",565
"1972-06",437
"1972-07",594
"1972-08",416
"1972-09",360
"1972-10",684
"1972-11",1142
"1972-12",1280
"1973-01",1565
"1973-02",1419
"1973-03",903
"1973-04",1111
"1973-05",626
"1973-06",477
"1973-07",405
"1973-08",354
"1973-09",315
"1973-10",483
"1973-11",726
"1973-12",1396
"1974-01",1832
"1974-02",1047
"1974-03",1537
"1974-04",1081
"1974-05",637
"1974-06",632
"1974-07",483
"1974-08",381
"1974-09",290
"1974-10",406
"1974-11",380
"1974-12",1093
"1975-01",1442
"1975-02",1555
"1975-03",851
"1975-04",671
"1975-05",473
"1975-06",351
"1975-07",390
"1975-08",237
"1975-09",224
"1975-10",437
"1975-11",1020
"1975-12",1154
"1976-01",944
"1976-02",1152
"1976-03",1246
"1976-04",929
"1976-05",749
"1976-06",721
"1976-07",760
"1976-08",721
"1976-09",1048
"1976-10",904
"1976-11",1366
"1976-12",1918
"1977-01",1978
"1977-02",1583
"1977-03",1181
"1977-04",1160
"1977-05",645
"1977-06",561
"1977-07",441
"1977-08",338
"1977-09",565
"1977-10",407
"1977-11",833
"1977-12",1423
"1978-01",1914
"1978-02",1267
"1978-03",1203
"1978-04",734
"1978-05",675
"1978-06",668
"1978-07",471
"1978-08",345
"1978-09",332
"1978-10",485
"1978-11",859
"1978-12",1084